false_gods,true_gods,random_gods,expected_questions,status,independent_replications,notes,version,reproduce_command
3,7,2,13.191667,upper_bound,0,,0.16.21,./hardest -f 3 -t 7 -r 2 -b 9 -i 3999 -a 1.002 -e 1.00165 -S 8 -H 0 -l 1.01 -s 9314211149115929399 -i 0 -u 13.193434000000002 -M 1
4,6,2,14.026786,upper_bound,0,,0.17.11,./hardest -f 4 -t 6 -r 2 -b 11 -i 9999 -a 1.0001 -e 1.00007 -S 8 -z -99 -K 1940 -U 5 -l 1.01 -s 7697912058463834866 -i 0 -u 14.026804 -M 1 -a 1.0001 -e 1.00007
5,5,2,14.268248,upper_bound,0,,0.17.11,./hardest -f 5 -t 5 -r 2 -b 1 -i 99 -a 1.00101 -e 1.00100 -S 8 -U 5 -z -99 -K 1940 -l 1.01 -s 269922062492476900 -i 0 -u 14.270321999999998 -M 1 -a 1.00101 -e 1.0009999999999999
0,9,3,8.195455,upper_bound,2,,0.16.21,./hardest -f 0 -t 9 -r 3 -b 9 -i 999 -a 1.002 -e 1.0012 -S 7 -H 0 -l 1.01 -s 7142522075185611102 -i 0 -u 8.1954550000000008 -M 1
1,8,3,11.403030,upper_bound,0,,0.17.11,./hardest -f 1 -t 8 -r 3 -b 9 -i 1999 -a 1.00146 -e 1.0011 -K 1960 -S 8 -z -99 -U 4 -l 1.01 -s 13880575494285207578 -i 0 -u 11.40404 -M 1 -a 1.0014599999999998 -e 1.0010999999999999
2,7,3,13.422348,upper_bound,0,,0.17.11,./hardest -f 2 -t 7 -r 3 -b 3 -i 499 -a 1.00101 -e 1.001005 -S 8 -U 4 -z -99 -K 1940 -l 1.01 -s 699299985459225312 -i 0 -u 13.426199 -M 1 -a 1.00101 -e 1.0010049999999999
3,6,3,14.704978,upper_bound,0,,0.17.11,./hardest -f 3 -t 6 -r 3 -b 2 -i 999 -a 1.0009985 -e 1.0009908 -K 1960 -S 8 -z -99 -U 4 -l 1.01 -s 6460322808860244253 -i 0 -u 14.705302999999999 -M 1 -a 1.0009984999999999 -e 1.0009907999999998
4,5,3,15.234740,upper_bound,0,,0.17.11,./hardest -f 4 -t 5 -r 3 -b 3 -i 499 -a 1.001 -e 1.00105 -K 1960 -S 8 -z -99 -U 4 -l 1.01 -s 2743687651997368497 -i 0 -u 15.236499 -M 1 -a 1.0009999999999999 -e 1.00105
0,8,4,9.838542,upper_bound,0,,0.17.11,./hardest -f 0 -t 8 -r 4 -b 5 -i 999 -a 1.00394 -e 1.00393 -K 1960 -S 8 -z -99 -U 3 -l 1.01 -s 4427882880676856678 -i 0 -u 9.8404040000000013 -M 1 -a 1.0039399999999998 -e 1.0039299999999998
1,7,4,12.946042,upper_bound,0,,0.17.11,./hardest -f 1 -t 7 -r 4 -b 3 -i 999 -a 1.000998 -e 1.00099 -K 1960 -S 8 -z -99 -U 4 -l 1.01 -s 8829350310120272902 -i 0 -u 12.950126000000001 -M 1 -a 1.0009979999999998 -e 1.0009899999999998
2,6,4,14.729496,upper_bound,0,,0.17.11,./hardest -f 2 -t 6 -r 4 -b 2 -i 199 -a 1.0027 -e 1.0026 -K 1960 -S 8 -z -99 -U 2 -l 1.01 -s 16724283357503138272 -i 0 -u 14.731655999999999 -M 1 -a 1.0026999999999999 -e 1.0025999999999999
3,5,4,15.746890,upper_bound,0,,0.17.11,./hardest -f 3 -t 5 -r 4 -b 1 -i 199 -a 1.0025 -e 1.0022 -K 1960 -S 8 -z -99 -U 4 -l 1.01 -s 14210617783575828706 -i 0 -u 15.746903999999999 -M 1 -a 1.0024999999999999 -e 1.0022
